Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
JMY,-0.162561693,0.207007843,-2.469561632,0.017973951,0.041416355,-3.727135177,0.097682856,0.272602835
GLMN,-0.267043982,0.041095475,-2.468919883,0.018001775,0.041473344,-3.728510986,-0.13600191,0.147353906
ZBTB18,0.327614907,4.02591485,2.468028462,0.018040489,0.041555397,-3.73042162,4.217310574,3.911077415
TBL3,-0.219321091,1.591668825,-2.467554049,0.018061123,0.041595783,-3.731438252,1.46974797,1.664821338
ANXA11,0.219291702,5.634601068,2.467318644,0.01807137,0.041612237,-3.731942654,5.79020357,5.541239567
BRCA2,0.12322473,-0.691094727,2.465464024,0.018152283,0.041791378,-3.735915333,-0.617022378,-0.735538136
SLC38A2,0.329670325,2.694065014,2.464961918,0.018174245,0.041834761,-3.736990494,2.885921063,2.578951385
FAHD2B,-0.281747065,0.352256544,-2.464071833,0.018213237,0.041917322,-3.738896042,0.183738978,0.453367084
TIGAR,0.192510434,1.613063571,2.463903938,0.018220601,0.041927075,-3.739255427,1.735664692,1.539502899
TXNL1,0.139027756,1.675108966,2.462431596,0.018285291,0.042068715,-3.742406255,1.760572029,1.623831129
DGKH,0.263110249,-0.486669436,2.461855278,0.018310669,0.042119878,-3.743639209,-0.309368007,-0.593050294
CDKL3,-0.123783362,-0.900333756,-2.461493088,0.018326635,0.042149375,-3.744413956,-0.977299117,-0.85415454
WFDC1,0.074422974,-0.957202482,2.461361872,0.018332422,0.042155457,-3.744694616,-0.909716682,-0.985693962
TFAP2E,-0.235517789,0.223553777,-2.460477898,0.018371453,0.042237966,-3.746585076,0.057519778,0.323174176
NEK5,0.068305626,-0.942695127,2.459226395,0.01842684,0.042358047,-3.749260683,-0.901108593,-0.967647047
HNRNPU,-0.231154937,5.130953488,-2.457393141,0.018508247,0.042537889,-3.753178239,4.996822101,5.21143232
BZW2,-0.194209683,1.693686368,-2.457225055,0.018515728,0.042547791,-3.753537321,1.582494683,1.760401379
GZF1,0.175540359,0.698532182,2.456626122,0.018542405,0.042601794,-3.754816682,0.802250023,0.636301477
SLC16A10,-0.112396417,-0.784074827,-2.456474686,0.018549155,0.042610005,-3.755140122,-0.859938857,-0.738556409
GGA1,-0.20493134,2.446113485,-2.455573314,0.018589382,0.042695099,-3.757064996,2.337509935,2.511275614
CDC42BPA,0.095859958,-0.8382635,2.45488984,0.018619937,0.042757955,-3.758524208,-0.773207482,-0.87729711
DDX19B,-0.206274456,2.210133509,-2.454671667,0.0186297,0.042773051,-3.758989945,2.087918896,2.283462277
UNC13D,0.282398227,4.790487335,2.454340134,0.018644545,0.042792485,-3.759697613,4.975361532,4.679562816
KLHL32,-0.148009464,-0.786951557,-2.454401691,0.018641788,0.042792485,-3.759566222,-0.881579719,-0.73017466
