Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
EFCAB14,-2.332519625,1.839470122,-8.121730688,1.15E-08,3.20E-06,9.986279997,-0.13420033,2.198319296
ZDHHC2,-2.41279094,1.510563569,-8.129473146,1.13E-08,3.20E-06,10.0039174,-0.531028765,1.881762175
B3GNT2,-2.925611171,3.642968979,-8.121194666,1.15E-08,3.20E-06,9.985058616,1.167451835,4.093063006
RNF11,-4.263865729,4.394600891,-8.08595651,1.25E-08,3.42E-06,9.904675104,0.786714505,5.050580234
KCNK4,0.925976944,-0.667285846,8.061357693,1.32E-08,3.56E-06,9.848456775,0.116233107,-0.809743837
PTPN18,-1.114506819,4.226944014,-8.051943565,1.35E-08,3.58E-06,9.826918895,3.283899783,4.398406602
KLHL20,-1.266860284,0.973371383,-8.045340801,1.37E-08,3.58E-06,9.811805415,-0.098587319,1.168272965
NEDD1,-1.109846394,2.491670743,-8.003804587,1.52E-08,3.82E-06,9.71658873,1.552569948,2.662416342
ZNF384,-1.577743576,3.751309951,-8.00706834,1.51E-08,3.82E-06,9.724079338,2.416296156,3.994039732
ABCB4,1.26820336,-0.257590529,7.990287935,1.57E-08,3.89E-06,9.685550737,0.815504623,-0.452698738
TOB1,-3.000839077,3.104328517,-7.934260853,1.79E-08,4.37E-06,9.556621547,0.56515699,3.565996067
NPTN,-1.362064779,6.326167206,-7.911349257,1.89E-08,4.54E-06,9.503769932,5.173650854,6.535715634
PPP2CA,-3.673338506,3.24726169,-7.905984531,1.92E-08,4.54E-06,9.491384101,0.139052185,3.812390691
SS18,-1.878864694,2.349134936,-7.868185406,2.10E-08,4.90E-06,9.404000537,0.759326349,2.638191042
HNRNPF,-1.323898561,6.432106475,-7.84829748,2.20E-08,5.06E-06,9.357943342,5.311884616,6.635783177
CASP2,1.656412571,0.235474167,7.811908159,2.40E-08,5.22E-06,9.27352821,1.637054035,-0.019358537
SORD,-1.932000082,1.296171949,-7.818902596,2.36E-08,5.22E-06,9.289768125,-0.338597351,1.593402731
RBM3,-2.104015189,6.531145453,-7.826686212,2.32E-08,5.22E-06,9.307832344,4.750824908,6.854840097
AZIN1,-2.432937469,2.766758058,-7.812405006,2.40E-08,5.22E-06,9.27468203,0.708118661,3.14105613
SCAMP3,1.421562356,4.656628304,7.800216572,2.47E-08,5.30E-06,9.246367036,5.85948876,4.437926403
RIC1,-1.215394444,0.712079031,-7.776300903,2.61E-08,5.53E-06,9.190748227,-0.316331653,0.899062792
PPP2CB,-2.379522312,3.859268873,-7.768411864,2.66E-08,5.57E-06,9.172383822,1.845826916,4.225349228
ARPC1A,2.228805827,4.06545568,7.747887197,2.80E-08,5.77E-06,9.124565151,5.951368303,3.722562476
DDC,1.95251175,0.82635015,7.731463018,2.91E-08,5.80E-06,9.086257694,2.478475477,0.525963727
LYRM2,-1.485109384,2.221561284,-7.733289415,2.90E-08,5.80E-06,9.090519401,0.964930267,2.450039651
ZBTB4,-1.80757778,1.199319149,-7.730373132,2.92E-08,5.80E-06,9.08371434,-0.330169742,1.477408038
POLDIP3,1.956010371,2.445300652,7.724187587,2.96E-08,5.81E-06,9.069276649,4.100386351,2.14437598
CIAO1,-0.839164265,4.927846452,-7.710900518,3.06E-08,5.93E-06,9.038245346,4.217784382,5.056948647
PTP4A1,-2.266256115,3.589618187,-7.698142778,3.16E-08,6.04E-06,9.008427263,1.672016859,3.938272974
PKMYT1,1.705793721,1.417376162,7.671518519,3.37E-08,6.26E-06,8.946127119,2.86074008,1.154946359
CNOT6,-0.870944926,2.137784238,-7.672829421,3.35E-08,6.26E-06,8.949196892,1.400830839,2.271775765
CAST,-0.919758266,4.752904672,-7.668757066,3.39E-08,6.26E-06,8.939659785,3.974647677,4.894405944
SH3PXD2B,2.745049239,0.22614182,7.655733581,3.50E-08,6.31E-06,8.909144546,2.548875792,-0.196173448
WNK1,-1.978313221,2.700145825,-7.656925738,3.49E-08,6.31E-06,8.911938855,1.026188484,3.004501705
SNRNP40,2.072906454,2.886049677,7.630591131,3.72E-08,6.35E-06,8.850167395,4.640047446,2.567140991
