Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
SORT1,2.962389602,4.605483765,7.385934544,2.97E-05,0.002989628,2.94017636,5.592946966,2.630557364
EPB41L1,2.961102633,3.369113789,7.826395907,1.83E-05,0.002989628,3.406908361,4.356148,1.395045367
STAC3,2.9594675,5.637649,8.090521953,1.38E-05,0.002989628,3.675253756,6.624138167,3.664670667
APOL4,2.942474667,4.956331444,7.671089195,2.16E-05,0.002989628,3.245134082,5.937156333,2.994681667
HNMT,2.9118475,6.061638,8.222054826,1.21E-05,0.002989628,3.805780358,7.032253833,4.120406333
SLC7A7,2.884068167,5.919475778,7.65021077,2.21E-05,0.002989628,3.223156669,6.880831833,3.996763667
CYP27A1,2.8584535,7.479115667,7.644507603,2.23E-05,0.002989628,3.217143767,8.4319335,5.57348
CXCR2,2.850836813,1.941668396,7.536904511,2.51E-05,0.002989628,3.102925499,2.891947333,0.04111052
EPHX1,2.783919833,5.653413222,7.972507379,1.57E-05,0.002989628,3.556395111,6.5813865,3.797466667
LGALS3BP,2.752913333,6.992736222,8.739362036,7.16E-06,0.002989628,4.299899888,7.910374,5.157460667
C11orf74,2.730085,4.277493667,8.483002981,9.24E-06,0.002989628,4.058795913,5.187522,2.457437
CENPW,2.681721167,6.503931778,7.939275933,1.62E-05,0.002989628,3.522624032,7.397838833,4.716117667
NLRC4,2.639802333,4.544003556,7.799877961,1.88E-05,0.002989628,3.379497814,5.423937667,2.784135333
CDK18,2.615793773,1.953927742,8.4923856,9.16E-06,0.002989628,4.067748971,2.825859,0.210065227
EIF4EBP3,2.6101075,7.282505,8.104257045,1.36E-05,0.002989628,3.688979173,8.152540833,5.542433333
RBMS2,2.599527667,3.993711111,8.150674398,1.30E-05,0.002989628,3.735198662,4.860220333,2.260692667
ARL11,2.596541167,4.644840778,7.507285942,2.59E-05,0.002989628,3.071227336,5.5103545,2.913813333
HK2,2.58329,4.404258333,8.080030512,1.40E-05,0.002989628,3.66475462,5.265355,2.682065
LRP1,2.579042833,4.670574556,7.473376012,2.69E-05,0.002989628,3.034798364,5.5302555,2.951212667
TK1,2.5604105,4.898122333,8.645748779,7.85E-06,0.002989628,4.212697867,5.7515925,3.191182
NRP1,2.536614,3.940786333,8.236048327,1.19E-05,0.002989628,3.819547442,4.786324333,2.249710333
GMPR,2.524586,4.552233333,7.386170834,2.97E-05,0.002989628,2.94043339,5.393762,2.869176
MND1,2.495308833,3.237021556,8.510397702,8.99E-06,0.002989628,4.084908723,4.068791167,1.573482333
TMEM220,2.476789833,4.330869222,7.455583396,2.74E-05,0.002989628,3.015624806,5.156465833,2.679676
HSD17B14,2.455832667,6.228451111,8.258676221,1.16E-05,0.002989628,3.84176101,7.047062,4.591229333
HES2,2.447123242,1.681635005,8.345216858,1.06E-05,0.002989628,3.926170586,2.497342753,0.05021951
ANGPT4,2.417504665,1.376467612,7.492929163,2.63E-05,0.002989628,3.055822081,2.1823025,-0.235202165
ALDH1A1,2.404259333,6.932671556,7.497852336,2.62E-05,0.002989628,3.061107774,7.734091333,5.329832
SLC29A1,2.372790833,5.012683556,7.551976905,2.47E-05,0.002989628,3.119013113,5.803613833,3.430823
FAM151B,2.342355667,3.257467778,7.436465545,2.80E-05,0.002989628,2.994977613,4.038253,1.695897333
ARMCX1,2.3228005,3.716368,8.386328883,1.02E-05,0.002989628,3.965968745,4.490634833,2.167834333
TCEAL4,2.301848833,6.107997556,7.418141865,2.86E-05,0.002989628,2.975143735,6.8752805,4.573431667
ACOT2,2.298460667,6.896186778,7.586931653,2.37E-05,0.002989628,3.156210909,7.662340333,5.363879667
ZWINT,2.2972405,3.863944667,8.63804248,7.91E-06,0.002989628,4.205476571,4.6296915,2.332451
SCIMP,2.294332167,5.400016778,7.689990584,2.12E-05,0.002989628,3.264983196,6.164794167,3.870462
ARPIN,2.273637333,3.326590889,7.491215943,2.64E-05,0.002989628,3.053981977,4.08447,1.810832667
MMP14,2.217040833,4.602903556,7.832974278,1.82E-05,0.002989628,3.413694762,5.341917167,3.124876333
LGALS12,2.21465151,0.882887497,7.549442378,2.47E-05,0.002989628,3.116309898,1.621104667,-0.593546843
ZNF503,2.197428433,2.538629189,8.939067,5.89E-06,0.002989628,4.482763155,3.271105333,1.0736769
BTK,2.176688833,5.131668889,8.435732899,9.70E-06,0.002989628,4.013539075,5.857231833,3.680543
FKBP9,2.145085167,2.237360611,7.558931223,2.45E-05,0.002989628,3.126426081,2.952389,0.807303833
PTPRO,2.1375815,3.914009667,7.612138825,2.31E-05,0.002989628,3.182939352,4.626536833,2.488955333
DHRS3,2.11190112,5.510273566,8.746917745,7.11E-06,0.002989628,4.306896469,6.214240606,4.102339486
LTA4H,2.099989167,7.005670778,8.178306433,1.26E-05,0.002989628,3.762592348,7.705667167,5.605678
CPM,2.0822,5.391556,7.529852483,2.53E-05,0.002989628,3.095388511,6.085622667,4.003422667
ANLN,2.050409817,1.826794394,7.867774722,1.75E-05,0.002989628,3.449507346,2.510264333,0.459854517
ANXA3,2.02974601,0.80214083,8.388443229,1.02E-05,0.002989628,3.968010301,1.478722833,-0.551023177
CCDC151,2.0185475,0.6146691,7.675780209,2.15E-05,0.002989628,3.250064486,1.287518267,-0.731029233
GLA,2.001317833,6.333259556,7.443528301,2.78E-05,0.002989628,3.002610859,7.0003655,4.999047667
PRRG1,1.993243933,1.290001356,8.058050296,1.43E-05,0.002989628,3.642715842,1.954416,-0.038827933
TACR2,1.98439269,1.471431103,7.404437054,2.91E-05,0.002989628,2.960280946,2.132895333,0.148502643
THEMIS2,1.975906839,6.328470158,7.576168717,2.40E-05,0.002989628,3.144773871,6.987105771,5.011198931
LILRB1,1.937155667,4.816936111,8.826943124,6.57E-06,0.002989628,4.380621081,5.462654667,3.525499
HFE,1.893159667,2.158062611,7.599788605,2.34E-05,0.002989628,3.169853847,2.789115833,0.895956167
IFI6,1.881956182,9.468733176,8.837411502,6.50E-06,0.002989628,4.390214264,10.0960519,8.214095721
GM2A,1.865142667,6.374669778,8.58270902,8.36E-06,0.002989628,4.1534331,6.996384,5.131241333
CDCA7L,1.8650385,4.264721667,7.538809668,2.50E-05,0.002989628,3.104960581,4.886401167,3.021362667
DHRS4L2,1.860634833,6.295056889,7.982192084,1.55E-05,0.002989628,3.566211992,6.9152685,5.054633667
OAS1,1.827290833,5.582634222,8.736356958,7.18E-06,0.002989628,4.297115465,6.191731167,4.364440333
TCEAL1,1.79215,4.926048333,8.113681791,1.35E-05,0.002989628,3.698384346,5.523431667,3.731281667
LY96,1.770211667,8.746938444,8.057332612,1.43E-05,0.002989628,3.641995275,9.337009,7.566797333
TMEM251,1.733301167,7.111415778,7.645083226,2.23E-05,0.002989628,3.217750837,7.689182833,5.955881667
ATP6V0D2,1.711351833,3.210824556,7.596790965,2.35E-05,0.002989628,3.166674825,3.781275167,2.069923333
GNS,1.689488333,5.828746556,7.605464112,2.33E-05,0.002989628,3.175869649,6.391909333,4.702421
HEXB,1.535401,6.928072667,8.129271436,1.33E-05,0.002989628,3.71391855,7.439873,5.904472
TUBG1,1.524743333,5.378264222,8.032268273,1.47E-05,0.002989628,3.616791704,5.886512,4.361768667
SNX10,1.504884667,7.691698778,7.382421285,2.98E-05,0.002989628,2.936353866,8.193327,6.688442333
NCF4,1.3902415,7.892319333,7.746583375,1.99E-05,0.002989628,3.324146517,8.355733167,6.965491667
BCAT1,1.379668333,3.300211889,7.661497575,2.19E-05,0.002989628,3.235044388,3.760101333,2.380433
PRDX3,1.2793725,7.234553,7.469853277,2.70E-05,0.002989628,3.031005458,7.6610105,6.381638
TCEAL8,1.275871667,6.717011778,7.463266483,2.72E-05,0.002989628,3.02390921,7.142302333,5.866430667
AXIN1,-0.875486667,4.255868889,-7.488531987,2.65E-05,0.002989628,3.051098484,3.96404,4.839526667
PRDM11,-1.08829275,1.051055167,-7.883652087,1.72E-05,0.002989628,3.46579724,0.688290917,1.776583667
LMO7,-1.138903733,1.406855511,-7.620161274,2.29E-05,0.002989628,3.191429087,1.027220933,2.166124667
TMEM178B,-1.412328233,-0.010826522,-7.981282086,1.55E-05,0.002989628,3.565290055,-0.4816026,0.930725633
ANKRD23,-1.497983167,2.454855222,-7.426276178,2.84E-05,0.002989628,2.98395383,1.9555275,3.453510667
TNNT3,-1.527400417,-0.169047611,-7.744571921,2.00E-05,0.002989628,3.322050541,-0.678181083,0.849219333
MAK,-1.757931167,2.334590222,-7.554255271,2.46E-05,0.002989628,3.12144242,1.748613167,3.506544333
CDHR1,-1.931012033,0.182580978,-7.531473619,2.52E-05,0.002989628,3.097121693,-0.4610897,1.469922333
CALCB,-2.038924483,1.469376344,-9.001462737,5.55E-06,0.002989628,4.539027826,0.78973485,2.828659333
SLC4A4,-2.244906475,0.533536683,-7.818850529,1.84E-05,0.002989628,3.399117821,-0.214765475,2.030141
LINGO2,-2.261269933,0.193585711,-8.6009006,8.21E-06,0.002989628,4.170580414,-0.560170933,1.701099
FAM166B,-2.265362667,0.351491556,-8.039476393,1.46E-05,0.002989628,3.624047553,-0.403629333,1.861733333
NYNRIN,1.3738404,0.4416659,7.361700357,3.05E-05,0.00303823,2.913776357,0.8996127,-0.4742277
PCOLCE2,4.816044967,4.965832344,7.289046722,3.31E-05,0.003043679,2.834168971,6.571180667,1.7551357
GPA33,3.9723452,3.924041433,7.289717936,3.31E-05,0.003043679,2.834907602,5.2481565,1.2758113
CAMP,3.453044,4.975594333,7.175772562,3.76E-05,0.003043679,2.708662822,6.126609,2.673565
TLCD2,3.436215307,2.095255564,7.256566542,3.43E-05,0.003043679,2.798355395,3.240660667,-0.19555464
DNASE2B,3.180404639,4.172447041,7.203710997,3.64E-05,0.003043679,2.739776634,5.232581921,2.052177282
TCF7L2,3.06703,6.081747333,7.25869803,3.42E-05,0.003043679,2.80070991,7.104090667,4.037060667
TLR8,3.059677,3.945481667,7.239151056,3.50E-05,0.003043679,2.779095116,4.965374,1.905697
CD276,2.890363,4.090182667,7.180924904,3.74E-05,0.003043679,2.714408596,5.053637,2.163274
PHLDA3,2.867972167,6.212463778,7.181868689,3.74E-05,0.003043679,2.715460699,7.1684545,4.300482333
PTCRA,2.862013,5.588086333,7.253480068,3.44E-05,0.003043679,2.794944906,6.542090667,3.680077667
C2,2.8555835,5.781077667,7.31003003,3.23E-05,0.003043679,2.857231793,6.732938833,3.877355333
AQP9,2.723531667,5.203257444,7.231142846,3.53E-05,0.003043679,2.770225113,6.111101333,3.387569667
KCNE3,2.723210667,4.627076111,7.29865624,3.27E-05,0.003043679,2.844738017,5.534813,2.811602333
PTGR1,2.6850245,4.09957,7.26622815,3.39E-05,0.003043679,2.809023124,4.994578167,2.309553667
CYB5A,2.517145167,4.964682444,7.285383205,3.32E-05,0.003043679,2.83013644,5.803730833,3.286585667
SIRPB2,2.463369333,3.914752889,7.292619884,3.29E-05,0.003043679,2.83810034,4.735876,2.272506667
LAIR1,2.401079333,5.527766889,7.174573947,3.77E-05,0.003043679,2.707325645,6.328126667,3.927047333
APP,2.280180167,5.227477778,7.304359469,3.25E-05,0.003043679,2.851004974,5.987537833,3.707357667
MSRB2,2.177326,6.483506667,7.308092401,3.24E-05,0.003043679,2.855104567,7.209282,5.031956
TCEAL3,2.069656833,5.629111556,7.202726523,3.65E-05,0.003043679,2.738682038,6.318997167,4.249340333
CDCA5,2.019451467,1.866682844,7.211332926,3.61E-05,0.003043679,2.748246775,2.539833333,0.520381867
RIN2,1.841791333,4.431212556,7.234331423,3.52E-05,0.003043679,2.773757845,5.045143,3.203351667
RMDN3,1.793408,6.264801333,7.241481326,3.49E-05,0.003043679,2.781674557,6.862604,5.069196
BLVRA,1.791638,7.854611667,7.245049987,3.48E-05,0.003043679,2.785623412,8.451824333,6.660186333
APIP,1.785116667,6.145270778,7.213055855,3.61E-05,0.003043679,2.75016037,6.740309667,4.955193
AGRN,1.744121234,2.183420577,7.247479546,3.47E-05,0.003043679,2.788310843,2.764794321,1.020673088
CHADL,1.735048,1.182040833,7.186529196,3.72E-05,0.003043679,2.720654347,1.760390167,0.025342167
GNG10,1.545789,8.354519,7.182664458,3.73E-05,0.003043679,2.716347706,8.869782,7.323993
MKNK1,0.942147619,5.461195691,7.301260304,3.26E-05,0.003043679,2.847600008,5.775244897,4.833097278
XKR6,-1.270279667,5.123614889,-7.249858795,3.46E-05,0.003043679,2.790941866,4.700188333,5.970468
PACS1,-1.365848667,6.080003222,-7.319378223,3.20E-05,0.003043679,2.867487773,5.624720333,6.990569
STARD9,-1.671509,2.346487333,-7.203576878,3.65E-05,0.003043679,2.73962752,1.789317667,3.460826667
FCMR,-2.138420167,5.493940889,-7.270639241,3.38E-05,0.003043679,2.813889464,4.781134167,6.919554333
MS4A4A,3.170046167,7.048244778,7.16523542,3.81E-05,0.003058805,2.696900991,8.104926833,4.934880667
SPR,3.843934,4.976091667,7.142503484,3.91E-05,0.003069403,2.67147638,6.257403,2.413469
CD163,3.126388167,5.854402111,7.143052798,3.91E-05,0.003069403,2.672091579,6.8965315,3.770143333
RENBP,2.133217667,6.662151778,7.156346557,3.85E-05,0.003069403,2.686967457,7.373224333,5.240006667
TMEM86A,2.068043167,3.639003111,7.148413483,3.88E-05,0.003069403,2.678093102,4.328350833,2.260307667
NEXN,1.831205776,3.269438374,7.136808947,3.93E-05,0.00307237,2.665096451,3.8798403,2.048634524
PPBP,6.109682233,3.133096589,7.094807455,4.13E-05,0.003090461,2.617904951,5.169657333,-0.9400249
VSIG4,4.046730167,7.439035778,7.002613212,4.59E-05,0.003090461,2.51348183,8.787945833,4.741215667
FPR2,3.4441384,2.937705367,7.04129307,4.39E-05,0.003090461,2.5574328,4.0857515,0.6416131
IFI27,3.1712355,6.949364667,7.019318508,4.51E-05,0.003090461,2.532488641,8.006443167,4.835207667
CLDN7,3.168996667,4.798997444,7.047217826,4.36E-05,0.003090461,2.564146981,5.855329667,2.686333
FBP1,3.082537333,9.101999556,7.003889896,4.59E-05,0.003090461,2.514935748,10.129512,7.046974667
SERPINI2,2.97320979,2.352753903,7.043260704,4.38E-05,0.003090461,2.559663133,3.343823833,0.370614043
CD33,2.876834,4.500537667,7.013493153,4.54E-05,0.003090461,2.525865038,5.459482333,2.582648333
RRM2,2.731730767,3.094869411,7.089161559,4.16E-05,0.003090461,2.611543278,4.005446333,1.273715567
IQSEC2,2.5451135,3.870735333,7.067599367,4.26E-05,0.003090461,2.58720782,4.7191065,2.173993
PTAFR,2.4651706,5.665496436,7.002518119,4.60E-05,0.003090461,2.513373527,6.487219969,4.022049369
KMO,2.318877833,4.734057556,7.013738264,4.54E-05,0.003090461,2.52614383,5.507016833,3.188139
DOK3,2.316253167,5.160355778,7.096301771,4.12E-05,0.003090461,2.619587994,5.932440167,3.616187
RASAL2,2.162288833,4.637495889,7.007831,4.57E-05,0.003090461,2.519422567,5.358258833,3.19597
LGALS9,2.123895667,6.535246778,7.081876205,4.19E-05,0.003090461,2.603327936,7.243212,5.119316333
KCNE1,2.0179935,3.308444333,7.010835341,4.55E-05,0.003090461,2.52284149,3.981108833,1.963115333
PGD,2.009389758,7.471393308,7.07349142,4.23E-05,0.003090461,2.593863936,8.141189894,6.131800136
LAMB2,1.965850467,1.274859344,7.123581396,3.99E-05,0.003090461,2.650260023,1.930142833,-0.035707633
SOWAHD,1.908077333,6.254140889,7.076884751,4.22E-05,0.003090461,2.597695172,6.890166667,4.982089333
GLRX,1.893931,6.739782667,7.088295854,4.16E-05,0.003090461,2.61056744,7.371093,5.477162
SNN,1.808554,4.217275,7.071573702,4.24E-05,0.003090461,2.59169805,4.820126333,3.011572333
CKS1B,1.613828926,5.993452892,7.101054651,4.10E-05,0.003090461,2.624939142,6.531395868,4.917566942
CDK5,1.493029833,5.204426889,7.037642462,4.41E-05,0.003090461,2.553293404,5.7021035,4.209073667
GLRX2,1.443993333,7.026530556,7.014587234,4.53E-05,0.003090461,2.527109393,7.507861667,6.063868333
RAPGEF3,1.3959947,0.496668867,7.031720695,4.44E-05,0.003090461,2.546574908,0.962000433,-0.433994267
MAB21L3,0.88178991,-0.324185073,7.081366344,4.19E-05,0.003090461,2.602752722,-0.030255103,-0.912045014
CDK13,-1.105248333,5.720289444,-7.008275559,4.56E-05,0.003090461,2.519928551,5.351873333,6.457121667
TOX,-2.434998833,5.767674111,-7.090105408,4.15E-05,0.003090461,2.612607087,4.956007833,7.391006667
CCDC141,-2.66634694,1.354393707,-7.014377219,4.53E-05,0.003090461,2.526870545,0.465611393,3.131958333
GNG12,3.411928668,2.731778095,6.996684462,4.63E-05,0.003090789,2.506727114,3.869087651,0.457158983
