Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
RPL29,-1.049706061,8.635197618,-14.42628678,1.94E-28,4.66E-26,54.11746287,7.902489832,8.951594161
PABPC1,-0.86077805,9.868427183,-14.38592509,2.42E-28,5.71E-26,53.8993471,9.266686343,10.12826982
CPEB3,0.753575046,4.124673361,14.37468209,2.57E-28,5.97E-26,53.83856108,4.647877645,3.898744238
ILF3,-0.664891836,6.218049397,-14.3489808,2.96E-28,6.75E-26,53.69955897,5.753580069,6.418615698
CDKL5,1.071814402,3.931364694,14.3120849,3.62E-28,8.12E-26,53.49989978,4.679167774,3.608449728
RPL10,-1.156468407,8.840481548,-14.30745907,3.71E-28,8.20E-26,53.47485814,8.031696187,9.189729772
BMX,2.029415047,4.042087016,14.26803736,4.60E-28,9.69E-26,53.26136752,5.462861034,3.428570962
CD44,-0.722929125,8.341874311,-14.27064579,4.54E-28,9.69E-26,53.27549826,7.837939617,8.559482475
TP53,-0.744784112,5.968166861,-14.26858627,4.59E-28,9.69E-26,53.26434118,5.448808583,6.192435209
AFF2,1.430925285,2.712168828,14.24813821,5.13E-28,1.06E-25,53.15354567,3.711619825,2.280587716
GPR160,1.256274268,4.988061708,14.22707818,5.76E-28,1.16E-25,53.03939247,5.862753661,4.61035382
RPLP2,-1.140494472,8.789587714,-14.22781075,5.74E-28,1.16E-25,53.04336398,7.997170979,9.131767668
TRIM28,-0.640082951,6.943032622,-14.22289119,5.90E-28,1.17E-25,53.01669238,6.497063642,7.135610137
IL10RA,-1.031174126,8.318840331,-14.19834381,6.75E-28,1.32E-25,52.88357329,7.594843436,8.631475353
LFNG,-1.118825725,7.926810334,-14.18330247,7.33E-28,1.41E-25,52.80197667,7.143383067,8.265108472
RPL10A,-1.188966779,8.420376726,-14.17803557,7.54E-28,1.43E-25,52.77339962,7.591848085,8.778150457
KCNA3,-1.388018173,8.20370539,-14.16751105,7.99E-28,1.49E-25,52.71628799,7.239873799,8.619905395
TRAF3,-0.607403532,5.743267546,-14.16455217,8.12E-28,1.50E-25,52.70022965,5.324017051,5.924307532
SPATA6,1.251654171,3.829580785,14.14335605,9.12E-28,1.66E-25,52.58517071,4.695214847,3.455784259
APRT,-0.832113509,6.660052118,-14.13139837,9.74E-28,1.75E-25,52.52024224,6.079161916,6.910891069
CXorf23,0.656177329,4.636237129,14.0972912,1.17E-27,2.05E-25,52.33497171,5.093757282,4.438671608
SNU13,-0.562448226,5.923085033,-14.09750782,1.17E-27,2.05E-25,52.33614876,5.531650155,6.09211373
RAB33B,0.861002482,5.330843548,14.07168747,1.35E-27,2.33E-25,52.19582086,5.933769379,5.070489212
AMPH,2.247250067,0.163537638,14.05854867,1.45E-27,2.48E-25,52.12439074,1.728007975,-0.512029099
ANKS1A,0.752462301,5.735460808,14.0475163,1.54E-27,2.60E-25,52.06440004,6.261130015,5.508467287
