Symbol,logFC,AveExpr,t,P.Value,adj.P.Val,B,mean_N-fHP,mean_L-fHP
CNST,-0.303320614,3.332914754,-1.258951753,0.210434652,0.54877324,-5.657008803,3.124071053,3.427391667
SCARB1,-0.280122118,-0.92737377,-1.258131471,0.210730106,0.549056545,-5.658009831,-1.120244737,-0.840122619
VCPKMT,-0.239060777,1.140186066,-1.257328796,0.211019513,0.549323604,-5.658988758,0.975586842,1.214647619
CD3G,0.298436341,0.48510082,1.256690286,0.211249937,0.549436784,-5.659767038,0.690581579,0.392145238
ASPN,-0.121666917,1.439318033,-1.255613697,0.211638872,0.549961666,-5.66107842,1.355547368,1.477214286
HMOX2,0.293958145,1.655063115,1.253061076,0.212563139,0.551875499,-5.664183367,1.857460526,1.563502381
TF,-0.062925877,0.096341803,-1.251839737,0.21300641,0.552051005,-5.665666797,0.053015789,0.115941667
STEAP4,0.150653885,0.110486885,1.252085767,0.212917062,0.552051005,-5.665368084,0.214215789,0.063561905
RBP2,0.255469048,1.019453279,1.250441654,0.213514657,0.552880686,-5.66736317,1.19535,0.939880952
TCTN3,0.085749875,0.395582787,1.247277258,0.214668286,0.552944866,-5.671195888,0.454623684,0.36887381
NRP2,0.092013095,0.879446721,1.247410069,0.214619776,0.552944866,-5.671035217,0.9428,0.850786905
REG4,0.154129073,0.776333607,1.24841615,0.214252562,0.552944866,-5.66981755,0.882455263,0.72832619
PNLIPRP2,0.799066667,-1.044527049,1.248736831,0.214135612,0.552944866,-5.669429227,-0.49435,-1.293416667
AHCY,0.305374311,2.219597541,1.24814995,0.214349679,0.552944866,-5.670139827,2.429855263,2.124480952
OLR1,0.340896491,2.521197541,1.249499557,0.213857639,0.552944866,-5.668505227,2.755913158,2.415016667
LGALS4,0.171015414,1.403688525,1.246600173,0.214915717,0.553097454,-5.672014744,1.521436842,1.350421429
ENPP5,0.104834085,0.000477049,1.245965361,0.215147889,0.553210539,-5.672782083,0.072657895,-0.03217619
COL24A1,-0.170086153,1.444166393,-1.245412331,0.2153503,0.553246967,-5.673450256,1.327057895,1.497144048
DSG4,0.139906203,-0.08582623,1.243250926,0.216142713,0.554797758,-5.676058903,0.010502632,-0.129403571
ISM2,0.12484386,0.308302459,1.240717784,0.217074114,0.556702286,-5.679110586,0.394260526,0.269416667
CLSTN2,0.115288283,0.624860656,1.239461138,0.217537248,0.556922638,-5.68062222,0.704239474,0.58895119
ADAMTS8,-0.141487093,0.449627869,-1.23939279,0.217562459,0.556922638,-5.680704395,0.352210526,0.493697619
AMY2A,-0.154653258,0.208398361,-1.238942728,0.217728517,0.556922638,-5.681245388,0.101915789,0.256569048
THOP1,0.156381454,1.933632787,1.238102381,0.218038824,0.557231395,-5.682255005,2.041305263,1.88492381
IL3RA,-0.104314411,0.366896721,-1.232476513,0.22012453,0.561922376,-5.688996893,0.295073684,0.399388095
CGA,0.237725251,0.358172951,1.231761466,0.220390657,0.561922376,-5.689851642,0.521852632,0.284127381
PDGFA,-0.273845363,1.990272951,-1.231607632,0.220447941,0.561922376,-5.690035467,1.801723684,2.075569048
PRSS27,-0.118336529,0.027106557,-1.231017843,0.220667667,0.561995037,-5.690740036,-0.054371053,0.063965476
SSBP1,-0.125452256,0.284503279,-1.227597739,0.22194496,0.564758646,-5.694819245,0.198126316,0.323578571
ABRAXAS2,-0.237447368,2.054190984,-1.224083649,0.223262928,0.567620887,-5.698999026,1.890702632,2.12815
DDR1,-0.075257143,0.411516393,-1.222276277,0.22394299,0.568173655,-5.701144225,0.3597,0.434957143
RNASE6,-0.100148684,0.642181148,-1.22196487,0.224060315,0.568173655,-5.701513528,0.573226316,0.673375
NAMPT,0.51937995,1.128433607,1.222060424,0.22402431,0.568173655,-5.701400218,1.486039474,0.966659524
SBSN,0.112734336,0.422540164,1.219029569,0.225168397,0.568996589,-5.704990032,0.500160526,0.38742619
TTF2,-0.19815119,1.120931967,-1.218541965,0.225352851,0.568996589,-5.705566749,0.9845,1.18265119
APEX1,0.323080827,2.03887459,1.219056502,0.225158212,0.568996589,-5.70495817,2.261323684,1.938242857
EFCAB2,-0.140019799,0.90134918,-1.22028533,0.224693861,0.568996589,-5.703503735,0.804942105,0.944961905
FLI1,-0.409618421,2.718663934,-1.219549143,0.224971968,0.568996589,-5.704375254,2.436631579,2.84625
PCYT2,-0.243867669,2.306948361,-1.217750581,0.225652455,0.569264003,-5.706502286,2.139039474,2.382907143
FSHB,0.268730576,0.623743443,1.215427285,0.226533674,0.570996969,-5.709245349,0.808771053,0.540040476
LILRA3,0.422021867,-0.370380328,1.213778704,0.227160481,0.57159645,-5.711188692,-0.079807895,-0.501829762
TADA3,-0.184081767,1.53147377,-1.214171874,0.22701088,0.57159645,-5.710725458,1.404728947,1.588810714
TLR1,-0.121438784,0.411968852,-1.212924968,0.227485571,0.571924803,-5.712194062,0.328355263,0.449794048
